CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
24001000100,Maryland,Allegany County,0,3718,1523,0,39.0,1.05,1,1,0,0,0,1,14.7,50848.0,1,1,0,0,0,1,0,0,1259.0,1259.0,,528.0,528.0,,3718.0,100.0,1353.0,36.39,754.0,20.28,704.0,18.93,3628.0,97.58,35.0,0.94,5.0,0.13,0.0,0.0,11.0,0.3,39.0,1.05,31.0,0.83,62.0,4.1,240.0,15.75,3718.0,100.0,1353.0,36.39,754.0,20.28,704.0,18.93,3628.0,97.58,35.0,0.94,5.0,0.13,0.0,0.0,11.0,0.3,39.0,1.05,31.0,0.83,62.0,4.1,240.0,15.75,1259.0,33.86,528.0,14.21,235.0,6.33,239.0,6.44,1227.0,33.01,18.0,0.48,0.0,0.0,0.0,0.0,4.0,0.12,9.0,0.24,13.0,0.35,19.0,1.23,83.0,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,1390.0,754.0,704.0,3628.0,35.0,5.0,0.0,11.0,39.0,31.0,65.0,246.0
24001000200,Maryland,Allegany County,0,4564,1284,0,1517.0,33.24,0,0,0,0,0,1,7.2,65938.0,0,0,0,0,0,0,0,0,,,,,,,4564.0,100.0,1277.0,27.99,591.0,12.95,612.0,13.41,3635.0,79.65,856.0,18.76,20.0,0.44,1.0,0.02,2.0,0.04,50.0,1.1,364.0,7.98,19.0,1.46,161.0,12.51,4553.0,99.75,1274.0,27.92,591.0,12.94,609.0,13.35,3624.0,79.4,856.0,18.76,20.0,0.44,1.0,0.02,2.0,0.04,50.0,1.1,364.0,7.98,19.0,1.45,160.0,12.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787.0,591.0,612.0,3635.0,856.0,20.0,1.0,2.0,50.0,364.0,15.0,143.0
24001000300,Maryland,Allegany County,0,2780,1133,0,155.0,5.58,0,0,0,1,1,1,16.9,49856.0,0,0,0,0,0,0,0,1,,,,,,,2752.0,98.99,1060.0,38.13,544.0,19.56,599.0,21.56,2617.0,94.14,78.0,2.8,2.0,0.07,1.0,0.04,3.0,0.11,51.0,1.83,27.0,0.97,107.0,9.48,215.0,19.02,2023.0,72.78,724.0,26.04,413.0,14.86,403.0,14.49,1950.0,70.16,34.0,1.22,2.0,0.07,1.0,0.04,1.0,0.04,35.0,1.26,18.0,0.65,63.0,5.6,157.0,13.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.0,549.0,605.0,2644.0,79.0,2.0,1.0,3.0,51.0,27.0,102.0,208.0
24001000400,Maryland,Allegany County,1,3022,1350,0,14.0,0.46,1,1,1,1,1,1,18.6,63472.0,1,1,1,1,1,0,0,1,1513.0,2638.0,1513.0,351.0,798.0,351.0,2638.0,87.29,798.0,26.4,506.0,16.75,595.0,19.7,2450.0,81.07,104.0,3.45,10.0,0.33,4.0,0.13,7.0,0.23,63.0,2.08,11.0,0.36,118.0,8.72,180.0,13.3,1513.0,50.08,351.0,11.61,259.0,8.59,384.0,12.71,1446.0,47.84,41.0,1.37,4.0,0.13,1.0,0.02,2.0,0.07,20.0,0.65,6.0,0.19,48.0,3.59,105.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.0,599.0,637.0,2777.0,149.0,16.0,4.0,7.0,69.0,16.0,136.0,189.0
24001000500,Maryland,Allegany County,1,2734,1044,0,345.0,12.62,1,1,1,0,0,1,34.4,43616.0,1,1,1,1,1,0,0,0,905.0,1242.0,905.0,497.0,700.0,497.0,1242.0,45.42,700.0,25.59,184.0,6.72,259.0,9.48,987.0,36.11,207.0,7.56,14.0,0.51,1.0,0.04,2.0,0.07,31.0,1.13,19.0,0.7,63.0,6.0,185.0,17.7,905.0,33.1,497.0,18.19,116.0,4.24,199.0,7.27,676.0,24.74,191.0,7.0,13.0,0.48,1.0,0.04,0.0,0.01,23.0,0.83,13.0,0.48,35.0,3.36,115.0,11.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1128.0,522.0,501.0,2287.0,334.0,27.0,1.0,6.0,79.0,42.0,151.0,366.0
24001000600,Maryland,Allegany County,1,2965,1294,0,44.0,1.48,0,1,0,0,0,1,9.8,60833.0,0,1,0,1,0,0,0,0,58.0,1821.0,58.0,13.0,462.0,13.0,1821.0,61.42,462.0,15.6,330.0,11.12,454.0,15.32,1669.0,56.28,88.0,2.98,9.0,0.31,2.0,0.06,6.0,0.21,47.0,1.58,19.0,0.63,80.0,6.16,142.0,10.96,58.0,1.96,13.0,0.44,6.0,0.19,18.0,0.61,57.0,1.91,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,2.0,0.08,2.0,0.16,5.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.0,606.0,640.0,2666.0,181.0,18.0,2.0,12.0,86.0,29.0,147.0,214.0
24001000700,Maryland,Allegany County,1,3387,1539,0,5.0,0.15,0,1,0,1,1,1,32.2,35185.0,0,1,0,1,0,0,0,1,,1758.0,,,1109.0,,1758.0,51.92,1109.0,32.74,426.0,12.57,251.0,7.42,1598.0,47.18,92.0,2.7,12.0,0.34,0.0,0.0,3.0,0.09,54.0,1.6,17.0,0.51,128.0,8.29,239.0,15.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2090.0,768.0,712.0,3103.0,163.0,14.0,0.0,6.0,101.0,28.0,358.0,484.0
24001000800,Maryland,Allegany County,1,2213,904,0,0.0,0.0,0,1,0,1,1,1,34.8,33889.0,0,1,0,1,0,0,0,1,311.0,2212.0,311.0,131.0,1253.0,131.0,2212.0,99.96,1253.0,56.62,585.0,26.43,317.0,14.31,2028.0,91.65,105.0,4.74,7.0,0.32,0.0,0.0,5.0,0.23,67.0,3.03,16.0,0.72,126.0,13.92,397.0,43.96,311.0,14.05,131.0,5.93,70.0,3.16,57.0,2.58,298.0,13.48,3.0,0.16,1.0,0.05,0.0,0.0,1.0,0.05,7.0,0.32,1.0,0.05,8.0,0.92,57.0,6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224.0,585.0,317.0,2029.0,105.0,7.0,0.0,5.0,67.0,16.0,114.0,347.0
24001001000,Maryland,Allegany County,1,2547,1208,0,88.0,3.46,0,1,0,1,1,1,19.7,43250.0,0,1,0,1,0,0,0,1,,1782.0,,,902.0,,1782.0,69.98,902.0,35.4,433.0,17.01,231.0,9.08,1569.0,61.6,109.0,4.3,5.0,0.19,5.0,0.2,4.0,0.16,90.0,3.54,28.0,1.11,136.0,11.25,275.0,22.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255.0,515.0,472.0,2254.0,162.0,10.0,6.0,7.0,108.0,45.0,303.0,409.0
24001001100,Maryland,Allegany County,1,1493,820,0,4.0,0.27,0,1,0,1,1,1,22.9,60000.0,0,1,0,1,0,0,0,1,52.0,1408.0,52.0,28.0,761.0,28.0,1408.0,94.28,761.0,50.95,253.0,16.97,281.0,18.83,1300.0,87.04,64.0,4.26,11.0,0.74,0.0,0.0,0.0,0.0,33.0,2.24,16.0,1.07,207.0,25.19,148.0,18.03,52.0,3.51,28.0,1.9,11.0,0.75,9.0,0.62,50.0,3.34,1.0,0.04,1.0,0.06,0.0,0.0,0.0,0.0,1.0,0.07,1.0,0.07,7.0,0.8,5.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.0,256.0,335.0,1378.0,70.0,11.0,0.0,0.0,34.0,16.0,183.0,131.0
24001001200,Maryland,Allegany County,1,3164,1331,0,100.0,3.16,1,1,1,0,0,1,6.6,79087.0,1,1,1,1,1,0,0,0,1905.0,3125.0,1905.0,321.0,562.0,321.0,3125.0,98.75,562.0,17.75,604.0,19.08,560.0,17.69,2797.0,88.41,134.0,4.24,97.0,3.07,3.0,0.09,2.0,0.06,91.0,2.87,59.0,1.86,51.0,3.85,137.0,10.33,1905.0,60.22,321.0,10.14,355.0,11.23,361.0,11.41,1686.0,53.3,81.0,2.57,76.0,2.41,3.0,0.09,1.0,0.02,58.0,1.83,38.0,1.21,28.0,2.09,82.0,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.0,609.0,572.0,2833.0,136.0,99.0,3.0,2.0,91.0,59.0,52.0,125.0
24001001300,Maryland,Allegany County,1,5268,897,0,3218.0,61.09,1,1,1,0,0,1,10.1,66111.0,1,1,1,1,1,0,0,0,5197.0,5268.0,5197.0,1362.0,1382.0,1362.0,5268.0,100.0,1382.0,26.23,397.0,7.54,399.0,7.57,2756.0,52.32,2448.0,46.47,8.0,0.15,2.0,0.04,3.0,0.06,51.0,0.97,34.0,0.65,57.0,6.37,112.0,12.53,5197.0,98.65,1362.0,25.85,381.0,7.24,393.0,7.47,2686.0,50.99,2447.0,46.46,8.0,0.15,2.0,0.04,3.0,0.06,50.0,0.95,33.0,0.63,55.0,6.12,109.0,12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0,397.0,399.0,2756.0,2448.0,8.0,2.0,3.0,51.0,34.0,60.0,117.0
24001001401,Maryland,Allegany County,1,4110,1752,0,7.0,0.17,0,0,0,0,0,0,8.5,86667.0,1,1,1,1,1,0,0,0,2589.0,3618.0,2589.0,377.0,619.0,377.0,3618.0,88.03,619.0,15.07,712.0,17.33,781.0,19.0,3471.0,84.45,28.0,0.68,68.0,1.65,0.0,0.0,4.0,0.1,47.0,1.14,35.0,0.86,82.0,4.66,171.0,9.74,2589.0,62.99,377.0,9.17,517.0,12.58,573.0,13.95,2491.0,60.61,17.0,0.42,47.0,1.14,0.0,0.0,0.0,0.01,33.0,0.81,27.0,0.66,41.0,2.32,119.0,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725.0,800.0,896.0,3948.0,34.0,70.0,0.0,4.0,54.0,37.0,104.0,185.0
24001001402,Maryland,Allegany County,1,1589,676,0,0.0,0.0,1,1,1,0,0,1,9.2,72292.0,1,1,1,1,1,0,0,0,1158.0,1582.0,1158.0,340.0,465.0,340.0,1582.0,99.57,465.0,29.24,320.0,20.16,288.0,18.12,1513.0,95.23,28.0,1.76,16.0,1.01,0.0,0.0,2.0,0.13,23.0,1.45,3.0,0.19,37.0,5.48,81.0,12.03,1158.0,72.86,340.0,21.4,233.0,14.67,210.0,13.2,1096.0,68.97,26.0,1.61,15.0,0.93,0.0,0.0,2.0,0.13,20.0,1.23,1.0,0.06,27.0,3.99,59.0,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.0,322.0,289.0,1520.0,28.0,16.0,0.0,2.0,23.0,3.0,41.0,90.0
24001001502,Maryland,Allegany County,0,2055,823,0,0.0,0.0,0,0,0,0,0,1,13.2,51607.0,0,0,0,0,0,0,0,0,,,,,,,2044.0,99.48,835.0,40.63,425.0,20.68,405.0,19.69,1998.0,97.25,12.0,0.59,5.0,0.23,0.0,0.0,4.0,0.19,25.0,1.21,17.0,0.83,17.0,2.07,112.0,13.62,1922.0,93.53,785.0,38.2,396.0,19.26,384.0,18.69,1886.0,91.79,6.0,0.29,4.0,0.19,0.0,0.0,4.0,0.19,22.0,1.06,17.0,0.82,16.0,1.94,105.0,12.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,427.0,406.0,2008.0,13.0,5.0,0.0,4.0,25.0,17.0,17.0,112.0
24001001503,Maryland,Allegany County,0,1968,779,0,0.0,0.0,0,0,0,0,0,1,8.4,62813.0,0,0,0,0,0,0,0,0,,,,,,,1968.0,100.0,668.0,33.95,411.0,20.88,352.0,17.89,1922.0,97.66,10.0,0.51,1.0,0.05,0.0,0.0,2.0,0.1,33.0,1.68,16.0,0.81,55.0,7.09,147.0,18.81,1968.0,100.0,668.0,33.95,411.0,20.88,352.0,17.89,1922.0,97.66,10.0,0.51,1.0,0.05,0.0,0.0,2.0,0.1,33.0,1.68,16.0,0.81,55.0,7.09,147.0,18.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.0,411.0,352.0,1922.0,10.0,1.0,0.0,2.0,33.0,16.0,54.0,149.0
