FIPS,State,County,Variable_Code,Value
24001,MD,Allegany,LACCESS_POP10,29069.44994
24001,MD,Allegany,LACCESS_POP15,25628.82862
24001,MD,Allegany,PCH_LACCESS_POP_10_15,-11.83586662
24001,MD,Allegany,PCT_LACCESS_POP10,38.71435793
24001,MD,Allegany,PCT_LACCESS_POP15,34.13217816
24001,MD,Allegany,LACCESS_LOWI10,11732.01278
24001,MD,Allegany,LACCESS_LOWI15,9849.264154
24001,MD,Allegany,PCH_LACCESS_LOWI_10_15,-16.0479592
24001,MD,Allegany,PCT_LACCESS_LOWI10,15.62455922
24001,MD,Allegany,PCT_LACCESS_LOWI15,13.11713633
24001,MD,Allegany,LACCESS_HHNV10,1248.686328
24001,MD,Allegany,LACCESS_HHNV15,865.4446461
24001,MD,Allegany,PCH_LACCESS_HHNV_10_15,-30.69158951
24001,MD,Allegany,PCT_LACCESS_HHNV10,4.279694034
24001,MD,Allegany,PCT_LACCESS_HHNV15,2.966187909
24001,MD,Allegany,LACCESS_SNAP15,1205.158817
24001,MD,Allegany,PCT_LACCESS_SNAP15,4.130509707
24001,MD,Allegany,LACCESS_CHILD10,4083.217323
24001,MD,Allegany,LACCESS_CHILD15,3743.832213
24001,MD,Allegany,LACCESS_CHILD_10_15,-8.311708218
24001,MD,Allegany,PCT_LACCESS_CHILD10,5.437981705
24001,MD,Allegany,PCT_LACCESS_CHILD15,4.985992533
24001,MD,Allegany,LACCESS_SENIORS10,4455.689092
24001,MD,Allegany,LACCESS_SENIORS15,4055.112621
24001,MD,Allegany,PCH_LACCESS_SENIORS_10_15,-8.990224906
24001,MD,Allegany,PCT_LACCESS_SENIORS10,5.934035308
24001,MD,Allegany,PCT_LACCESS_SENIORS15,5.400552188
24001,MD,Allegany,LACCESS_WHITE15,20728.88467
24001,MD,Allegany,PCT_LACCESS_WHITE15,27.60648936
24001,MD,Allegany,LACCESS_BLACK15,4244.325629
24001,MD,Allegany,PCT_LACCESS_BLACK15,5.652543887
24001,MD,Allegany,LACCESS_HISP15,601.8401979
24001,MD,Allegany,PCT_LACCESS_HISP15,0.80152383
24001,MD,Allegany,LACCESS_NHASIAN15,234.1630661
24001,MD,Allegany,PCT_LACCESS_NHASIAN15,0.311855669
24001,MD,Allegany,LACCESS_NHNA15,23.38509949
24001,MD,Allegany,PCT_LACCESS_NHNA15,0.031144006
24001,MD,Allegany,LACCESS_NHPI15,10.33105729
24001,MD,Allegany,PCT_LACCESS_NHPI15,0.013758783
24001,MD,Allegany,LACCESS_MULTIR15,387.7391764
24001,MD,Allegany,PCT_LACCESS_MULTIR15,0.51638656
24003,MD,Anne Arundel,LACCESS_POP10,154300.8275
24003,MD,Anne Arundel,LACCESS_POP15,190277.6146
24003,MD,Anne Arundel,PCH_LACCESS_POP_10_15,23.31600399
24003,MD,Anne Arundel,PCT_LACCESS_POP10,28.69880138
24003,MD,Anne Arundel,PCT_LACCESS_POP15,35.39021505
24003,MD,Anne Arundel,LACCESS_LOWI10,18062.94191
24003,MD,Anne Arundel,LACCESS_LOWI15,27012.60345
24003,MD,Anne Arundel,PCH_LACCESS_LOWI_10_15,49.547087
24003,MD,Anne Arundel,PCT_LACCESS_LOWI10,3.359572275
24003,MD,Anne Arundel,PCT_LACCESS_LOWI15,5.024142473
24003,MD,Anne Arundel,LACCESS_HHNV10,2223.616859
24003,MD,Anne Arundel,LACCESS_HHNV15,2762.20715
24003,MD,Anne Arundel,PCH_LACCESS_HHNV_10_15,24.22136212
24003,MD,Anne Arundel,PCT_LACCESS_HHNV10,1.115276941
24003,MD,Anne Arundel,PCT_LACCESS_HHNV15,1.385412207
24003,MD,Anne Arundel,LACCESS_SNAP15,3481.079881
24003,MD,Anne Arundel,PCT_LACCESS_SNAP15,1.745969907
24003,MD,Anne Arundel,LACCESS_CHILD10,35856.19138
24003,MD,Anne Arundel,LACCESS_CHILD15,44391.41376
24003,MD,Anne Arundel,LACCESS_CHILD_10_15,23.80404069
24003,MD,Anne Arundel,PCT_LACCESS_CHILD10,6.66898377
24003,MD,Anne Arundel,PCT_LACCESS_CHILD15,8.25647138
24003,MD,Anne Arundel,LACCESS_SENIORS10,20217.8424
24003,MD,Anne Arundel,LACCESS_SENIORS15,23443.78169
24003,MD,Anne Arundel,PCH_LACCESS_SENIORS_10_15,15.95590286
24003,MD,Anne Arundel,PCT_LACCESS_SENIORS10,3.76036767
24003,MD,Anne Arundel,PCT_LACCESS_SENIORS15,4.360368282
24003,MD,Anne Arundel,LACCESS_WHITE15,148923.4376
24003,MD,Anne Arundel,PCT_LACCESS_WHITE15,27.69864702
24003,MD,Anne Arundel,LACCESS_BLACK15,27121.4619
24003,MD,Anne Arundel,PCT_LACCESS_BLACK15,5.04438933
24003,MD,Anne Arundel,LACCESS_HISP15,9064.592926
24003,MD,Anne Arundel,PCT_LACCESS_HISP15,1.685946577
24003,MD,Anne Arundel,LACCESS_NHASIAN15,5515.078203
24003,MD,Anne Arundel,PCT_LACCESS_NHASIAN15,1.025763351
24003,MD,Anne Arundel,LACCESS_NHNA15,601.6385468
24003,MD,Anne Arundel,PCT_LACCESS_NHNA15,0.111900276
24003,MD,Anne Arundel,LACCESS_NHPI15,170.023265
24003,MD,Anne Arundel,PCT_LACCESS_NHPI15,0.031623057
24003,MD,Anne Arundel,LACCESS_MULTIR15,7945.975
24003,MD,Anne Arundel,PCT_LACCESS_MULTIR15,1.477891998
24005,MD,Baltimore,LACCESS_POP10,163117.4977
24005,MD,Baltimore,LACCESS_POP15,141213.6311
24005,MD,Baltimore,PCH_LACCESS_POP_10_15,-13.42827527
24005,MD,Baltimore,PCT_LACCESS_POP10,20.26231324
24005,MD,Baltimore,PCT_LACCESS_POP15,17.54143405
24005,MD,Baltimore,LACCESS_LOWI10,24573.63581
24005,MD,Baltimore,LACCESS_LOWI15,23076.76136
24005,MD,Baltimore,PCH_LACCESS_LOWI_10_15,-6.091383729
24005,MD,Baltimore,PCT_LACCESS_LOWI10,3.0525156
24005,MD,Baltimore,PCT_LACCESS_LOWI15,2.866575161
24005,MD,Baltimore,LACCESS_HHNV10,3529.2982
24005,MD,Baltimore,LACCESS_HHNV15,3057.744193
24005,MD,Baltimore,PCH_LACCESS_HHNV_10_15,-13.36112678
24005,MD,Baltimore,PCT_LACCESS_HHNV10,1.114345137
24005,MD,Baltimore,PCT_LACCESS_HHNV15,0.96545607
24005,MD,Baltimore,LACCESS_SNAP15,3817.607401
24005,MD,Baltimore,PCT_LACCESS_SNAP15,1.205376253
24005,MD,Baltimore,LACCESS_CHILD10,36259.99643
24005,MD,Baltimore,LACCESS_CHILD15,32014.96372
24005,MD,Baltimore,LACCESS_CHILD_10_15,-11.70720664
24005,MD,Baltimore,PCT_LACCESS_CHILD10,4.50418512
24005,MD,Baltimore,PCT_LACCESS_CHILD15,3.97687086
24005,MD,Baltimore,LACCESS_SENIORS10,23954.34102
24005,MD,Baltimore,LACCESS_SENIORS15,20265.01649
24005,MD,Baltimore,PCH_LACCESS_SENIORS_10_15,-15.40148623
24005,MD,Baltimore,PCT_LACCESS_SENIORS10,2.975587342
24005,MD,Baltimore,PCT_LACCESS_SENIORS15,2.517302667
24005,MD,Baltimore,LACCESS_WHITE15,95697.86629
24005,MD,Baltimore,PCT_LACCESS_WHITE15,11.88750545
24005,MD,Baltimore,LACCESS_BLACK15,34881.25784
24005,MD,Baltimore,PCT_LACCESS_BLACK15,4.332919416
24005,MD,Baltimore,LACCESS_HISP15,3895.595649
24005,MD,Baltimore,PCT_LACCESS_HISP15,0.483907493
24005,MD,Baltimore,LACCESS_NHASIAN15,6132.601317
24005,MD,Baltimore,PCT_LACCESS_NHASIAN15,0.761786385
24005,MD,Baltimore,LACCESS_NHNA15,326.0796099
24005,MD,Baltimore,PCT_LACCESS_NHNA15,0.040505325
24005,MD,Baltimore,LACCESS_NHPI15,46.70673559
24005,MD,Baltimore,PCT_LACCESS_NHPI15,0.00580187
24005,MD,Baltimore,LACCESS_MULTIR15,4129.1193
24005,MD,Baltimore,PCT_LACCESS_MULTIR15,0.512915597
24009,MD,Calvert,LACCESS_POP10,29795.76605
24009,MD,Calvert,LACCESS_POP15,32025.62471
24009,MD,Calvert,PCH_LACCESS_POP_10_15,7.483810481
24009,MD,Calvert,PCT_LACCESS_POP10,33.57761255
24009,MD,Calvert,PCT_LACCESS_POP15,36.09049744
24009,MD,Calvert,LACCESS_LOWI10,4119.039245
24009,MD,Calvert,LACCESS_LOWI15,4625.687631
24009,MD,Calvert,PCH_LACCESS_LOWI_10_15,12.30015921
24009,MD,Calvert,PCT_LACCESS_LOWI10,4.641850914
24009,MD,Calvert,PCT_LACCESS_LOWI15,5.212805967
24009,MD,Calvert,LACCESS_HHNV10,749.1313465
24009,MD,Calvert,LACCESS_HHNV15,650.0900968
24009,MD,Calvert,PCH_LACCESS_HHNV_10_15,-13.22081237
24009,MD,Calvert,PCT_LACCESS_HHNV10,2.426493527
24009,MD,Calvert,PCT_LACCESS_HHNV15,2.10569137
24009,MD,Calvert,LACCESS_SNAP15,973.5705738
24009,MD,Calvert,PCT_LACCESS_SNAP15,3.15346929
24009,MD,Calvert,LACCESS_CHILD10,8192.062109
24009,MD,Calvert,LACCESS_CHILD15,8879.688651
24009,MD,Calvert,LACCESS_CHILD_10_15,8.393815047
24009,MD,Calvert,PCT_LACCESS_CHILD10,9.231844788
24009,MD,Calvert,PCT_LACCESS_CHILD15,10.00674876
24009,MD,Calvert,LACCESS_SENIORS10,2521.937113
24009,MD,Calvert,LACCESS_SENIORS15,2668.488403
24009,MD,Calvert,PCH_LACCESS_SENIORS_10_15,5.811060408
24009,MD,Calvert,PCT_LACCESS_SENIORS10,2.842035581
24009,MD,Calvert,PCT_LACCESS_SENIORS15,3.007187985
24009,MD,Calvert,LACCESS_WHITE15,26365.52465
24009,MD,Calvert,PCT_LACCESS_WHITE15,29.71198559
24009,MD,Calvert,LACCESS_BLACK15,3893.706566
24009,MD,Calvert,PCT_LACCESS_BLACK15,4.387917741
24009,MD,Calvert,LACCESS_HISP15,1057.623083
24009,MD,Calvert,PCT_LACCESS_HISP15,1.191862563
24009,MD,Calvert,LACCESS_NHASIAN15,441.0188946
24009,MD,Calvert,PCT_LACCESS_NHASIAN15,0.496995497
24009,MD,Calvert,LACCESS_NHNA15,131.9843303
24009,MD,Calvert,PCT_LACCESS_NHNA15,0.148736525
24009,MD,Calvert,LACCESS_NHPI15,19.55345197
24009,MD,Calvert,PCT_LACCESS_NHPI15,0.022035286
24009,MD,Calvert,LACCESS_MULTIR15,1173.836839
24009,MD,Calvert,PCT_LACCESS_MULTIR15,1.322826825
24011,MD,Caroline,LACCESS_POP10,2126.863962
24011,MD,Caroline,LACCESS_POP15,1739.832246
24011,MD,Caroline,PCH_LACCESS_POP_10_15,-18.19729528
